t1 monitor,keyboard,mouse,ram,rom,cpu
t2 camera,webcam,monitor
t3 laptop
t4 laptop,mouse,keyboard
t5 cpu,keyboard,mouse,ram,rom
t6 ram,rom
t7 usb,laptop,wifi,hdmicable,cpu
t8 projector,printer,scanner
t9 laptop,printer,gamepad,dongle 
t10 mouse,mousepad,dongle,cpu
t11 vr,speaker,cpu,monitor
t12 chair,speaker,monitor,cpu
t13 laptop,cover,charger,
t14 speaker
t15 vr,mobile
t16 mobile,vr,case
t17 headphones,laptop,mouse,keyboard
t18 monitor,mouse,chair,keyboard,headphones
t19 monitor,mouse,chair,keyboard,headphones,vr
t20 camera,webcam,monitor,vr,headphone,cpu
