t1 shirt,pant,socks,tshirt,gloves
t2 shirt,pant
t3 scarf,golves,socks,earcaps,sleves
t4 shirt,pant,underware,tiye,belt
t5 tshirt,pant,shoes
t6 slipper,shoes,heels
t7 heels,gown,mask,pant
t8 mask,gloves,heels
t9 shirt,pant,suite,tie,
t10 jacket,jeans,tshirt,belt,gloves
t11 shorts,tshirts
t12 coat,jeans,shoes,scarf,belt
t13 sweater,tracksuit,pajams
t14 pajams,underware
t15 shirt
t16 tanktop,swimsuit
t17 raincoat,boots,gloves,
t18 shirt,pant,socks,tshirt,gloves,pajams,underware
t19 skirt,dress,pant,
t20 shirt,pant,suite,tie,bow-tie,cap
